,asin,product_name,price,rating,review_count,discount,image_url,product_link,aesthetic
922,B0FH2G8BCJ,Hooded T-Shirt: Olive Men and Boys Short Sleeves Hooded Neck Green Solid Cotton Oversized Fit Dual Front Flap Pockets Lightweight All-Season Comfortable T-Shirt,999,,,(62% off),https://m.media-amazon.com/images/I/51xWmJrZXhL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Hooded-T-Shirt-Lightweight/dp/B0FH2G8BCJ,streetwear
923,B0G2B3GTN8,Heavy Duty 1.0 Men's Solid Oversized Fit Full Sleeve Cotton Blend Hoodies,1569,,,(55% off),https://m.media-amazon.com/images/I/616yH3QldzL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Oversized-Sleeve-Cotton-Hoodies_687574_Brown_3XL/dp/B0G2B3GTN8,streetwear
924,B0GBWZWBJL,"Black Drop Shoulder Hoodie | Russian Fleece (320+ GSM) Cotton-Poly Blend | Minimalist, Warm & Durable Winter Wear.",699,,,(22% off),https://m.media-amazon.com/images/I/51Xvdj240VL._AC_UL320_.jpg,https://www.amazon.in/HEMISH-LIFESTYLE-Shoulder-Cotton-Poly-Minimalist/dp/B0GBWZWBJL,streetwear
925,B0G3LYD59H,Nomad: Grassland Men and Boys Long Sleeves Hooded Neck Olive Green Embroidered Breathable Lightweight Pullover Cotton Linen Oversized Hoodie,3499,,,(13% off),https://m.media-amazon.com/images/I/615CWN9aEFL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Nomad-Embroidered-Lightweight/dp/B0G3LYD59H,streetwear
926,B0DPJDDJ94,Cotton Blend Oversized Hoodies | Parental Advisory Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve Solid Sweatshirt | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/41Eyz1IssBL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Long-Sleeve-Sweatshirt/dp/B0DPJDDJ94,streetwear
927,B0DZ6TKQFY,Mens Printed Hooded Neck Cotton Blend T-Shirt,1549,5.0,2,(22% off),https://m.media-amazon.com/images/I/71804XitksL._AC_UL320_.jpg,https://www.amazon.in/Monte-Carlo-Printed-Hooded-T-Shirt/dp/B0DZ6TKQFY,streetwear
928,B09HC1HF32,Heavy Duty 1.0 Men's Solid Oversized Fit Full Sleeve Fleece Hoodies,969,2.6,5,(64% off),https://m.media-amazon.com/images/I/511pd3c8grL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Casual-Loose-Hoodie-Sweatshirt/dp/B09HC1HF32,streetwear
929,B0FYDTW595,Men's Printed Oversized Fit Full Sleeve Cotton Poly Hoodies,1219,,,(72% off),https://m.media-amazon.com/images/I/61qoh5ZlMvL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Printed-Oversized-Sleeve-Hoodies_682762_Beige_M/dp/B0FYDTW595,streetwear
930,B0FFZ9BR61,Unisex Relaxed Fit Slightly Oversized 100% Cotton Fleece Pullover Full Sleeve Hoodie.,699,,,(53% off),https://m.media-amazon.com/images/I/51xrs4VQdmL._AC_UL320_.jpg,https://www.amazon.in/FUNKY-MONKEY-Slightly-Oversized-Pullover/dp/B0FFZ9BR61,streetwear
931,B0GBWZ4V7T,Grey Drop Shoulder Hoodie |Unisex | 380+ GSM Cotton Fleece | Thick Heavyweight Winter Wear | Minimal & Plain Design,899,,,(18% off),https://m.media-amazon.com/images/I/51zCyr06acL._AC_UL320_.jpg,https://www.amazon.in/HEMISH-LIFESTYLE-Shoulder-Heavyweight-Minimal/dp/B0GBWZ4V7T,streetwear
932,B0CHP2B862,Plain Relaxed Fit Hoodie for Men/Oversized Hoodies for Men/Unisex Hoodies,599,3.4,9,(54% off),https://m.media-amazon.com/images/I/41FB-zYrfpL._AC_UL320_.jpg,https://www.amazon.in/DROBE-Relaxed-Hoodie-Oversized-Hoodies/dp/B0CHP2B862,streetwear
933,B0DHHM83VV,Hulk: Always Angry Men and Boys Sleeveless Green Graphic Printed Regular Fit Cotton Hooded T-Shirts,849,3.7,4,(47% off),https://m.media-amazon.com/images/I/613iy7+9mWL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Printed-Oversized-T-Shirts/dp/B0DHHM83VV,streetwear
934,B0DS9Y4ZB7,Cotton Blend Oversized Hoodies | The BOSS Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/419or-lgZjL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9Y4ZB7,streetwear
935,B0DN13VNCM,X Marvel Black Panther Men's Polycotton Oversized Fit Hoodies | Hoodie for Men Winter Wear,1099,4.5,2,(68% off),https://m.media-amazon.com/images/I/61AJGIRt-sL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Official-Merchandise-Oversized-Hoodies_644680_Purple_M/dp/B0DN13VNCM,streetwear
936,B0FT8QG8QK,Heavenly Men's Letter Print Round Neck Long Sleeve Casual Pullover Hoodie Sweatshirt,999,5.0,1,(33% off),https://m.media-amazon.com/images/I/71oyR9C7xEL._AC_UL320_.jpg,https://www.amazon.in/SXV-STYLE-Heavenly-Pullover-Sweatshirt/dp/B0FT8QG8QK,streetwear
937,B0DPDFMHSL,Cotton Blend Oversized Hoodies | It's All Part of The Process Print Unisex Hoodie | Ribbed Cuff Long-Sleeve Solid Sweatshirt | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/41+YO3gRh1L._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Long-Sleeve-Sweatshirt/dp/B0DPDFMHSL,streetwear
938,B0BYF3C88B,Men's Solid Oversized Fit Full Sleeve Fleece Hoodies Black,999,1.0,1,(64% off),https://m.media-amazon.com/images/I/51urvBGa9yL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Mens-Solid-Fleece-Hoodie/dp/B0BYF3C88B,streetwear
939,B0DS9Z49WJ,Cotton Blend Oversized Hoodies | Manners Maketh Man Puff Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/419IgYBRlSL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9Z49WJ,streetwear
940,B0DYF2LF11,Men's Fleece Oversized Fit Hoodies | Bewakoof Heavy Duty® 1.0 | Hoodie for Men Winter Wear,1139,,,(68% off),https://m.media-amazon.com/images/I/71ZGeujnJ+L._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Graphic-Printed-Oversized-Hoodies_644603_Blue_2XL/dp/B0DYF2LF11,streetwear
941,B0BG2YFCM8,Solid Plain Unisex Cotton Oversized Baggy Sweatshirt,759,3.6,201,(49% off),https://m.media-amazon.com/images/I/4128wtlR94L._AC_UL320_.jpg,https://www.amazon.in/Unisex-Sweatshirt-Sxv_Plain-Solid_Sweatshirt-__Beige_L/dp/B0BG2YFCM8,streetwear
942,B0D3F4WPSQ,Oversized | Loose Fit | Half Sleeves 100% Cotton Round Neck Tie-Dye Graphic Printed T-Shirt for Men,359,3.8,32,(76% off),https://m.media-amazon.com/images/I/71BoxlIZw1L._AC_UL320_.jpg,https://www.amazon.in/RodZen-Oversized-Sleeves-Tie-Dye-Graphic/dp/B0D3F4WPSQ,streetwear
943,B0FS7XZ6RQ,Hoodie||Unisex Hoodie Sweatshirts,492,,,(80% off),https://m.media-amazon.com/images/I/51McCJ69tiL._AC_UL320_.jpg,https://www.amazon.in/AUSK-Hoodie-Unisex-Sweatshirts-Black/dp/B0FS7XZ6RQ,streetwear
944,B08L5BB2XX,Men's and Women's Cotton Blend Print Hoodies with Round Hooded Neck Long Sleeves Regular Fit Front Two Pockets,549,3.9,2.1K,(78% off),https://m.media-amazon.com/images/I/51clG9+uMnL._AC_UL320_.jpg,https://www.amazon.in/BAGHADBILLO-Unisex-Hoodies-B-W-NARUTO-BLACK-40_Black_Medium/dp/B08L5BB2XX,streetwear
945,B0G3XRHNZM,Oversized Heavyweight Hoodie | Unisex 450 GSM Pure Cotton Fleece | Premium Winter Streetwear,1199,5.0,2,(52% off),https://m.media-amazon.com/images/I/71iJtaB5HWL._AC_UL320_.jpg,https://www.amazon.in/arctale-Oversized-Heavyweight-Premium-Streetwear/dp/B0G3XRHNZM,streetwear
